Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-04-29,173.09,174.35,169.479,169.846,752300,0.0,0.0
2022-05-02,170.654,171.51,165.36,168.576,679500,0.0,0.0
2022-05-03,168.708,172.14,168.491,170.382,483000,0.0,0.0
2022-05-04,170.532,174.915,169.159,174.369,498600,0.0,0.0
2022-05-05,171.332,172.987,166.78,168.595,522900,0.0,0.0
2022-05-06,167.118,168.181,164.353,166.78,387700,0.0,0.0
2022-05-09,164.062,168.341,164.034,165.905,512900,0.0,0.0
2022-05-10,166.733,167.72,159.078,161.513,645800,0.0,0.0
2022-05-11,161.861,164.118,160.705,161.513,658500,0.0,0.0
2022-05-12,161.005,164.551,158.918,162.181,623200,0.0,0.0
2022-05-13,163.31,166.827,163.037,163.911,467800,0.0,0.0
2022-05-16,162.604,164.589,160.422,163.14,425100,0.0,0.0
2022-05-17,166.328,167.777,164.269,167.542,418200,0.0,0.0
2022-05-18,165.031,165.426,157.911,158.438,549400,0.0,0.0
2022-05-19,157.018,159.172,155.335,157.827,555600,0.0,0.0
2022-05-20,159.341,159.679,151.441,154.704,698400,0.0,0.0
2022-05-23,156.407,157.601,152.212,156.773,511000,0.0,0.0
2022-05-24,155.335,155.899,149.175,153.134,703300,0.0,0.0
2022-05-25,152.099,156.538,150.971,155.504,672900,0.0,0.0
2022-05-26,157.761,159.679,156.952,158.795,441600,0.0,0.0
2022-05-27,160.216,163.319,159.933,163.272,349000,0.0,0.0
2022-05-31,161.562,164.349,159.38,162.989,1103100,0.75,0.0
2022-06-01,163.206,164.736,160.372,163.47,518500,0.0,0.0
2022-06-02,164.585,167.777,163.026,167.655,389400,0.0,0.0
2022-06-03,166.276,168.117,165.586,167.485,355200,0.0,0.0
2022-06-06,168.287,170.866,167.768,170.025,470800,0.0,0.0
2022-06-07,169.544,172.103,167.57,171.546,530300,0.0,0.0
2022-06-08,170.96,171.14,168.42,168.873,568300,0.0,0.0
2022-06-09,167.692,168.694,164.103,164.301,402200,0.0,0.0
2022-06-10,160.438,161.619,157.567,159.522,616300,0.0,0.0
2022-06-13,155.64,156.235,151.257,152.259,636300,0.0,0.0
2022-06-14,152.07,153.553,150.955,152.155,574500,0.0,0.0
2022-06-15,153.317,154.091,149.52,152.164,504500,0.0,0.0
2022-06-16,148.377,148.877,143.21,144.806,699800,0.0,0.0
2022-06-17,144.854,148.698,144.797,146.318,881200,0.0,0.0
2022-06-21,147.867,148.528,146.044,146.733,534700,0.0,0.0
2022-06-22,144.693,148.481,144.41,147.064,645400,0.0,0.0
2022-06-23,146.714,147.612,144.457,146.865,694600,0.0,0.0
2022-06-24,148.207,156.207,148.207,156.179,745300,0.0,0.0
